"Mage-OS","Mage-OS"
"Mage-OS Extension Directory","Mage-OS Extension Directory"
"Extension Directory","Extension Directory"
"Extension Directory Configuration","Extension Directory Configuration"
"General","General"
"Mode","Mode"
"Direct: admin browsers load the UI bundle and the catalog feed straight from the directory host, which needs the CSP whitelist shipped with this module and CORS on that host. Proxy: this store's server fetches and caches the feed and serves the copy of the UI bundle that ships with this module, so the page is fully same-origin — for restricted networks or privacy-sensitive admins.","Direct: admin browsers load the UI bundle and the catalog feed straight from the directory host, which needs the CSP whitelist shipped with this module and CORS on that host. Proxy: this store's server fetches and caches the feed and serves the copy of the UI bundle that ships with this module, so the page is fully same-origin — for restricted networks or privacy-sensitive admins."
"Direct — load from the directory host (default)","Direct — load from the directory host (default)"
"Proxy — serve through this store","Proxy — serve through this store"
"Browse the catalog and mark the modules you want. Nothing is installed from here: marking modules builds a composer require command for you to copy and run on the server, where Composer resolves the dependencies.","Browse the catalog and mark the modules you want. Nothing is installed from here: marking modules builds a composer require command for you to copy and run on the server, where Composer resolves the dependencies."
"Catalog data cached from %1 — the directory host could not be reached recently.","Catalog data cached from %1 — the directory host could not be reached recently."
"The directory UI failed to load. Check that this browser can reach the script, then reload the page.","The directory UI failed to load. Check that this browser can reach the script, then reload the page."
"Module details","Module details"
"The extension directory feed is unavailable and no cached copy exists yet.","The extension directory feed is unavailable and no cached copy exists yet."
"Quality and compatibility data by","Quality and compatibility data by"
"PackageMaven","PackageMaven"
"package metadata from","package metadata from"
"Packagist","Packagist"
"Each module's detail page on the","Each module's detail page on the"
"links to its Packagist page.","links to its Packagist page."
"Data is empirical test output provided ""as is"" — a module without a test result for your Magento version is untested, not incompatible.","Data is empirical test output provided ""as is"" — a module without a test result for your Magento version is untested, not incompatible."
